這,zhè,この、その,我要買這個。,Wǒ yào mǎi zhège.,私はこれを買いたいです
那,nà,その、あの,我不要那個。,Wǒ bù yào nàge.,私はそれはいりません
哪,nǎ,どの、どれ,你喜歡哪一個？,Nǐ xǐhuān nǎ yí ge?,あなたはどれが好きですか？
是,shì,〜だ、〜である、はい,她是台灣人嗎？,Tā shì Táiwān rén ma?,彼女は台湾人ですか？
有,yǒu,もっている、ある、いる,你有護照嗎？,Nǐ yǒu hùzhào ma?,パスポートを持っていますか？
在,zài,いる、ある、存在する,我在家裡。,Wǒ zài jiālǐ.,私は家にいます
沒,méi,持っていない、ない,我沒有英日辭典。,Wǒ méiyǒu Yīng-Rì cídiǎn.,私は英和辞典を持っていません
不,bù,〜しない、〜でない,他不吃牛肉。,Tā bù chī niúròu.,彼は牛肉を食べません
的,de,〜の,這是你的東西嗎？,Zhè shì nǐ de dōngxī ma?,これはあなたのものですか？
嗎,ma,〜か？,你好嗎？,Nǐ hǎo ma?,お元気ですか？
什麼,shénme / shéme,何、なんの、どんな,這是什麼？,Zhè shì shénme?,これはなんですか？
怎麼,zěnme,どうやって、なぜ、どんな,請問最近的捷運站怎麼走？,Qǐngwèn zuìjìn de jiéyùn zhàn zěnme zǒu?,すみません、一番近いMRTの駅にはどうやっていきますか？
怎麼樣,zěnmeyàng,どんな、どのように、どうであるか,這本小說怎麼樣？,Zhè běn xiǎoshuō zěnmeyàng?,この小説はどうでしたか？
為什麼,wèishénme / wèishéme,なぜ、どうして,為什麼他不能來？,Wèishéme tā bù néng lái?,どうして彼は来られないのですか？
要,yào,〜がほしい、必要とする,我不要香菜。,Wǒ bù yào xiāngcài.,パクチーはいりません
請,qǐng,〜してください、ごちそうする、招待する,請慢用。,Qǐng màn yòng.,ごゆっくりどうぞ
請問,qǐngwèn,ちょっとお尋ねしますが、すみません,請問，你是陳先生嗎？,"Qǐngwèn, nǐ shì Chén xiānshēng ma?",すみません、あなたは陳先生ですか？
謝謝,xièxiè,感謝する,謝謝你。,Xièxiè nǐ.,ありがとうございます
再見,zàijiàn,さようなら、またね,再見。,Zàijiàn.,さようなら
對不起,duìbuqǐ,申し訳ない、すみません,對不起，打擾一下。,"Duìbuqǐ, dǎrǎo yíxià.",すみません、ちょっと失礼します
沒關係,méiguānxi,大丈夫である、差し支えない、関係ない,沒關係，我們再試一次。,"Méi guānxi, wǒmen zài shì yí cì.",大丈夫です、もう一度試してみましょう
我,wǒ,私,我愛你。,Wǒ ài nǐ.,私はあなたを愛しています
你,nǐ,あなた,你愛我嗎？,Nǐ ài wǒ ma?,あなたは私を愛していますか？
妳,nǐ,あなた,妳比我高。,Nǐ bǐ wǒ gāo.,あなたは私より背が高いです
他,tā,彼,他不愛我。,Tā bù ài wǒ.,彼は私を愛していません
她,tā,彼女,她愛吃鳳梨酥。,Tā ài chī fènglí sū.,彼女はパイナップルケーキを食べるのが好きです
我們,wǒmen,わたしたち,我們是朋友。,Wǒmen shì péngyǒu.,わたしたちは友人です
你們,nǐmen,あなたたち,你們是同學嗎？,Nǐmen shì tóngxué ma?,同級生ですか？
妳們,nǐmen,あなたたち,妳們從哪裡來？,Nǐmen cóng nǎlǐ lái?,どこの出身ですか？
他們,tāmen,彼ら,他們是日本人。,Tāmen shì Rìběn rén.,彼らは日本人です。
她們,tāmen,彼女たち,她們都會包餃子。,Tāmen dōu huì bāo jiǎozi.,みんなで餃子を作ります。
您,nín,あなた,您好。,Nín hǎo.,こんにちは。
誰,shéi / shuí,誰,你是誰？,Nǐ shì shéi?,あなたは誰ですか？
大家,dàjiā,みなさん,大家好。,Dàjiā hǎo.,こんにちは、みんな。
人,rén,人,教室裡有幾個人。,Jiàoshì lǐ yǒu jǐ gè rén.,教室には数人がいます。
男,nán,男性,你有男朋友嗎？,Nǐ yǒu nánpéngyǒu ma?,彼氏はいますか？
女,nǚ,女性,女孩子不都喜歡粉紅色。,Nǚháizi bù dōu xǐhuān fěnhóngsè.,すべての女の子がピンクを好むわけではありません。
名字,míngzi,名前,你叫什麼名字？,Nǐ jiào shénme míngzì?,お名前を頂けますか？
姓,xìng,名字は〜という,您貴姓？,Nín guìxìng?,あなたの苗字は何ですか？
叫,jiào,名前は〜という,大家好，我叫阿信。,"Dàjiā hǎo, wǒ jiào Āxìn.",皆さんこんにちは、アシンと申します。
小姐,xiǎojiě,〜さん,李小姐會說日文。,Lǐ xiǎojiě huì shuō Rìwén.,リーさんは日本語を話せます。
先生,xiānshēng,〜さん、夫,王先生很會做菜。,Wáng xiānshēng hěn huì zuò cài.,王さんは料理がとても上手です。
爸爸,bàba,お父さん,我爸爸是老師。,Wǒ bàba shì lǎoshī.,私の父は教師です。
媽媽,māma,お母さん,媽媽是美國人。,Māma shì Měiguó rén.,お母さんはアメリカ人です。
哥哥,gēge,兄,哥哥是上班族。,Gēge shì shàngbānzú.,私の兄は会社員です。
弟弟,dìdi,弟,弟弟是大學生。,Dìdi shì dàxuéshēng.,私の弟は大学生です。
姐姐,jiějie,姉,姐姐在寫功課。,Jiějie zài xiě gōngkè.,私の妹は宿題をしています。
妹妹,mèimei,妹,妹妹是高中生。,Mèimei shì gāozhōngshēng.,私の妹は高校生です。
太太,tàitai,妻、奥さん,我太太喜歡看台灣電影。,Wǒ tàitai xǐhuān kàn Táiwān diànyǐng.,私の妻は台湾映画を見るのが好きです。
孩子,háizi,子供,你有幾個孩子？,Nǐ yǒu jǐ gè háizi?,子供は何人いますか?
女兒,nǚ'ér,娘,我大女兒在日本讀書。,Wǒ dà nǚ'ér zài Rìběn dúshū.,私の長女は日本に留学しています。
兒子,érzi,息子,我二兒子在歐洲學音樂。,Wǒ èr érzi zài Ōuzhōu xué yīnyuè.,次男はヨーロッパに音楽留学中です。
朋友,péngyou,友人,她有很多外國朋友。,Tā yǒu hěn duō wàiguó péngyǒu.,彼女には外国人の友達がたくさんいます。
一,yī,1,請給我一雙筷子。,Qǐng gěi wǒ yì shuāng kuàizi.,お箸をください。
二,èr,2,我女兒小學二年級。,Wǒ nǚ'ér xiǎoxué èr niánjí.,娘は小学2年生です。
三,sān,3,這三個人是誰？,Zhè sān gè rén shì shéi?,この3人は誰ですか？
四,sì,4,小林住四樓。,Xiǎolín zhù sì lóu.,林さんは4階に住んでいます。
五,wǔ,5,今天五號。,Jīntiān wǔ hào.,今日は5日です。
六,liù,6,爺爺每天六點起床。,Yéye měitiān liù diǎn qǐchuáng.,おじいちゃんは毎日6時に起きます。
七,qī,7,七月七日七夕也是情人節。,Qī yuè qī rì Qīxì yě shì Qíngrénjié.,7月7日の七夕もバレンタインデーです。
八,bā,8,鈴木愛吃台灣八寶粥。,Língmù ài chī Táiwān bābǎozhōu.,鈴木さんは台湾の八宝粥が大好き。
九,jiǔ,9,我們九點見。,Wǒmen jiǔ diǎn jiàn.,9時に会いましょう。
十,shí,10,明天是雙十國慶。,Míngtiān shì Shuāngshí Guóqìng.,明日は10月10日建国記念日です。
零,líng,0,你看過零零七的電影嗎？,Nǐ kànguò Líng Líng Qī de diànyǐng ma?,映画「ゼロゼロセブン」を見たことがありますか？
兩,liǎng,2つ、2,我要買兩杯烏龍茶。,Wǒ yào mǎi liǎng bēi wūlóng chá.,ウーロン茶を2杯買いたいです。
百,bǎi,100,兒子今天數學考一百分。,Érzi jīntiān shùxué kǎo yì bǎi fēn.,私の息子は今日の数学のテストで100点を獲得しました。
半,bàn,半分,已經過了半年了。,Yǐjīng guò le bàn nián le.,半年が経ちました。
幾,jǐ,いくつ,你想去花蓮玩幾天？,Nǐ xiǎng qù Huālián wán jǐ tiān?,花蓮で何日間過ごしたいですか?
多少,duōshǎo,いくら、どれくらい,多少錢？,Duōshǎo qián?,いくら？
